block_id,tier,split,n_tiles,n_boulders,n_deposits,n_negative,density,pca_lo,pca_hi,span_m,tiles
0,negative,train,3,0,0,3,0.00,-1464.848,-1405.297,59.551,24_04_46;24_05_46;24_04_45
1,medium_low,train,3,4,6,2,1.33,-1390.342,-1345.746,44.596,24_05_45;24_06_45;24_04_44
2,high,train,3,16,23,1,5.33,-1339.583,-1323.274,16.309,25_03_38;24_05_44;25_04_38
3,high,train,3,16,8,1,5.33,-1315.837,-1271.241,44.596,24_06_44;25_03_37;24_05_43
4,high,train,3,18,12,1,6.00,-1258.330,-1241.331,16.999,25_04_37;24_06_43;24_07_43
5,high,train,3,11,8,2,3.67,-1211.690,-1196.735,14.955,24_05_42;25_03_36;24_06_42
6,high,train,3,21,7,1,7.00,-1193.387,-1144.752,48.635,25_04_36;24_07_42;25_03_35
7,high,train,3,52,12,0,17.33,-1137.184,-1122.229,14.955,24_06_41;25_04_35;24_07_41
8,medium_low,train,3,4,5,1,1.33,-1112.134,-1063.499,48.635,25_05_35;24_06_40;25_04_34
9,high,train,3,22,13,1,7.33,-1062.678,-1047.190,15.488,24_07_40;24_08_40;25_05_34
10,medium_low,train,3,3,5,2,1.00,-1003.127,-988.173,14.955,24_07_39;25_04_33;24_08_39
11,high,train,3,16,19,0,5.33,-982.247,-928.622,53.625,25_05_33;24_07_38;24_08_38
12,high,train,3,63,14,0,21.00,-917.303,-852.359,64.944,25_05_32;24_08_37;25_05_31
13,high,train,3,32,3,0,10.67,-836.050,-794.565,41.485,25_06_31;24_08_36;24_09_36
14,medium_low,train,3,3,5,1,1.00,-787.415,-749.969,37.447,25_05_30;25_06_30;24_08_35
15,medium_low,train,3,5,4,1,1.67,-735.014,-689.854,45.160,24_09_35;25_06_29;25_07_29
16,high,train,3,8,15,0,2.67,-675.463,-624.910,50.553,24_09_34;25_06_28;25_07_28
17,medium_low,train,3,4,13,0,1.33,-615.912,-559.966,55.946,24_09_33;25_06_27;25_07_27
18,medium_low,train,3,1,5,2,0.33,-556.361,-541.407,14.955,24_09_32;25_08_27;24_10_32
19,medium_low,train,3,2,4,1,0.67,-495.023,-478.714,16.309,25_07_26;24_10_31;25_08_26
20,medium_low,train,3,1,8,2,0.33,-430.079,-413.770,16.309,25_07_25;24_10_30;25_08_25
21,medium_low,train,3,1,9,2,0.33,-397.461,-362.754,34.708,25_09_25;25_07_24;24_10_29
