year_key,year,tile,pca_score,n_boulders,n_boulders_all,n_deposits,is_negative,block_id,block_tier,split,xmin,ymin,xmax,ymax
24_04_46,24,4_46,-1464.848,0,0,0,1,0,negative,train,461128.935467,5880397.156815999,461190.335467,5880458.556816
24_05_46,24,5_46,-1449.893,0,0,0,1,0,negative,train,461128.935467,5880335.756816,461190.335467,5880397.156816
24_04_45,24,4_45,-1405.297,0,0,0,1,0,negative,train,461067.535467,5880397.156815999,461128.935467,5880458.556816
24_05_45,24,5_45,-1390.342,4,4,6,0,1,medium_low,train,461067.535467,5880335.756816,461128.935467,5880397.156816
24_06_45,24,6_45,-1375.388,0,0,0,1,1,medium_low,train,461067.535467,5880274.356815999,461128.935467,5880335.756816
24_04_44,24,4_44,-1345.746,0,0,0,1,1,medium_low,train,461006.135467,5880397.156815999,461067.53546700004,5880458.556816
25_03_38,25,3_38,-1339.583,13,22,11,0,2,high,train,461016.65806700004,5880316.099976,461083.618267,5880383.060176
24_05_44,24,5_44,-1330.791,3,3,12,0,2,high,train,461006.135467,5880335.756816,461067.53546700004,5880397.156816
25_04_38,25,4_38,-1323.274,0,0,0,1,2,high,train,461016.65806700004,5880249.139776001,461083.618267,5880316.099976
24_06_44,24,6_44,-1315.837,9,11,0,0,3,high,train,461006.135467,5880274.356815999,461067.53546700004,5880335.756816
25_03_37,25,3_37,-1274.639,7,18,5,0,3,high,train,460949.69786700007,5880316.099976,461016.65806700004,5880383.060176
24_05_43,24,5_43,-1271.241,0,3,3,1,3,high,train,460944.735467,5880335.756816,461006.135467,5880397.156816
25_04_37,25,4_37,-1258.330,5,13,3,0,4,high,train,460949.69786700007,5880249.139776001,461016.65806700004,5880316.099976
24_06_43,24,6_43,-1256.286,13,25,9,0,4,high,train,460944.735467,5880274.356815999,461006.135467,5880335.756816
24_07_43,24,7_43,-1241.331,0,0,0,1,4,high,train,460944.735467,5880212.956815999,461006.135467,5880274.356815999
24_05_42,24,5_42,-1211.690,0,0,0,1,5,high,train,460883.33546699997,5880335.756816,460944.735467,5880397.156816
25_03_36,25,3_36,-1209.696,0,2,5,1,5,high,train,460882.73766700004,5880316.099976,460949.697867,5880383.060176
24_06_42,24,6_42,-1196.735,11,27,3,0,5,high,train,460883.33546699997,5880274.356815999,460944.735467,5880335.756816
25_04_36,25,4_36,-1193.387,20,83,6,0,6,high,train,460882.73766700004,5880249.139776001,460949.697867,5880316.099976
24_07_42,24,7_42,-1181.780,1,1,0,0,6,high,train,460883.33546699997,5880212.956815999,460944.735467,5880274.356815999
25_03_35,25,3_35,-1144.752,0,0,1,1,6,high,train,460815.77746700007,5880316.099976,460882.73766700004,5880383.060176
24_06_41,24,6_41,-1137.184,5,13,4,0,7,high,train,460821.935467,5880274.356815999,460883.335467,5880335.756816
25_04_35,25,4_35,-1128.443,31,112,5,0,7,high,train,460815.77746700007,5880249.139776001,460882.73766700004,5880316.099976
24_07_41,24,7_41,-1122.229,16,18,3,0,7,high,train,460821.935467,5880212.956815999,460883.335467,5880274.356815999
25_05_35,25,5_35,-1112.134,1,1,0,0,8,medium_low,train,460815.77746700007,5880182.179576,460882.73766700004,5880249.139776
24_06_40,24,6_40,-1077.633,0,0,0,1,8,medium_low,train,460760.535467,5880274.356815999,460821.935467,5880335.756816
25_04_34,25,4_34,-1063.499,3,45,5,0,8,medium_low,train,460748.81726700003,5880249.139776001,460815.777467,5880316.099976
24_07_40,24,7_40,-1062.678,11,22,5,0,9,high,train,460760.535467,5880212.956815999,460821.935467,5880274.356815999
24_08_40,24,8_40,-1047.724,0,0,0,1,9,high,train,460760.535467,5880151.556816,460821.935467,5880212.956816
25_05_34,25,5_34,-1047.190,11,45,8,0,9,high,train,460748.81726700003,5880182.179576,460815.777467,5880249.139776
24_07_39,24,7_39,-1003.127,3,12,5,0,10,medium_low,train,460699.135467,5880212.956815999,460760.53546700004,5880274.356815999
25_04_33,25,4_33,-998.556,0,0,0,1,10,medium_low,train,460681.85706700006,5880249.139776001,460748.81726700003,5880316.099976
24_08_39,24,8_39,-988.173,0,0,0,1,10,medium_low,train,460699.135467,5880151.556816,460760.53546700004,5880212.956816
25_05_33,25,5_33,-982.247,5,40,8,0,11,high,train,460681.85706700006,5880182.179576,460748.81726700003,5880249.139776
24_07_38,24,7_38,-943.576,3,12,5,0,11,high,train,460637.735467,5880212.956815999,460699.135467,5880274.356815999
24_08_38,24,8_38,-928.622,8,14,6,0,11,high,train,460637.735467,5880151.556816,460699.135467,5880212.956816
25_05_32,25,5_32,-917.303,26,77,8,0,12,high,train,460614.89686700003,5880182.179576,460681.857067,5880249.139776
24_08_37,24,8_37,-869.071,26,32,5,0,12,high,train,460576.33546699997,5880151.556816,460637.735467,5880212.956816
25_05_31,25,5_31,-852.359,11,25,1,0,12,high,train,460547.93666700006,5880182.179576,460614.89686700003,5880249.139776
25_06_31,25,6_31,-836.050,13,14,0,0,13,high,train,460547.93666700006,5880115.219376001,460614.89686700003,5880182.179576
24_08_36,24,8_36,-809.520,16,22,3,0,13,high,train,460514.935467,5880151.556816,460576.335467,5880212.956816
24_09_36,24,9_36,-794.565,3,3,0,0,13,high,train,460514.935467,5880090.156815999,460576.335467,5880151.556816
25_05_30,25,5_30,-787.415,0,1,0,1,14,medium_low,train,460480.97646700003,5880182.179576,460547.936667,5880249.139776
25_06_30,25,6_30,-771.107,2,26,4,0,14,medium_low,train,460480.97646700003,5880115.219376001,460547.936667,5880182.179576
24_08_35,24,8_35,-749.969,1,1,1,0,14,medium_low,train,460453.535467,5880151.556816,460514.935467,5880212.956816
24_09_35,24,9_35,-735.014,4,4,0,0,15,medium_low,train,460453.535467,5880090.156815999,460514.935467,5880151.556816
25_06_29,25,6_29,-706.163,1,43,4,0,15,medium_low,train,460414.01626700006,5880115.219376001,460480.97646700003,5880182.179576
25_07_29,25,7_29,-689.854,0,0,0,1,15,medium_low,train,460414.01626700006,5880048.259176001,460480.97646700003,5880115.219376001
24_09_34,24,9_34,-675.463,2,6,7,0,16,high,train,460392.135467,5880090.156815999,460453.53546700004,5880151.556816
25_06_28,25,6_28,-641.219,3,42,5,0,16,high,train,460347.056067,5880115.219376001,460414.016267,5880182.179576
25_07_28,25,7_28,-624.910,3,6,3,0,16,high,train,460347.056067,5880048.259176001,460414.016267,5880115.219376001
24_09_33,24,9_33,-615.912,1,7,5,0,17,medium_low,train,460330.735467,5880090.156815999,460392.135467,5880151.556816
25_06_27,25,6_27,-576.275,2,8,2,0,17,medium_low,train,460280.09586700005,5880115.219376001,460347.056067,5880182.179576
25_07_27,25,7_27,-559.966,1,33,6,0,17,medium_low,train,460280.09586700005,5880048.259176001,460347.056067,5880115.219376001
24_09_32,24,9_32,-556.361,1,17,5,0,18,medium_low,train,460269.33546699997,5880090.156815999,460330.735467,5880151.556816
25_08_27,25,8_27,-543.657,0,0,0,1,18,medium_low,train,460280.09586700005,5879981.298976,460347.056067,5880048.259176
24_10_32,24,10_32,-541.407,0,1,0,1,18,medium_low,train,460269.33546699997,5880028.756816,460330.735467,5880090.156816
25_07_26,25,7_26,-495.023,1,19,3,0,19,medium_low,train,460213.135667,5880048.259176001,460280.095867,5880115.219376001
24_10_31,24,10_31,-481.856,1,5,1,0,19,medium_low,train,460207.935467,5880028.756816,460269.335467,5880090.156816
25_08_26,25,8_26,-478.714,0,0,0,1,19,medium_low,train,460213.135667,5879981.298976,460280.095867,5880048.259176
25_07_25,25,7_25,-430.079,0,11,4,1,20,medium_low,train,460146.17546700005,5880048.259176001,460213.135667,5880115.219376001
24_10_30,24,10_30,-422.305,0,3,2,1,20,medium_low,train,460146.535467,5880028.756816,460207.935467,5880090.156816
25_08_25,25,8_25,-413.770,1,9,2,0,20,medium_low,train,460146.17546700005,5879981.298976,460213.135667,5880048.259176
25_09_25,25,9_25,-397.461,0,0,0,1,21,medium_low,train,460146.17546700005,5879914.338776001,460213.135667,5879981.298976
25_07_24,25,7_24,-365.135,0,0,1,1,21,medium_low,train,460079.215267,5880048.259176001,460146.175467,5880115.219376001
24_10_29,24,10_29,-362.754,1,2,8,0,21,medium_low,train,460085.135467,5880028.756816,460146.53546700004,5880090.156816
25_08_24,25,8_24,-348.826,2,32,3,0,22,medium_low,train,460079.215267,5879981.298976,460146.175467,5880048.259176
24_11_29,24,11_29,-347.799,3,7,5,0,22,medium_low,train,460085.135467,5879967.356815999,460146.53546700004,5880028.756816
25_09_24,25,9_24,-332.517,0,0,0,1,22,medium_low,train,460079.215267,5879914.338776001,460146.175467,5879981.298976
24_10_28,24,10_28,-303.203,0,0,0,1,23,medium_low,train,460023.735467,5880028.756816,460085.135467,5880090.156816
24_11_28,24,11_28,-288.248,3,6,8,0,23,medium_low,train,460023.735467,5879967.356815999,460085.135467,5880028.756816
25_08_23,25,8_23,-283.883,1,27,4,0,23,medium_low,train,460012.25506700005,5879981.298976,460079.215267,5880048.259176
24_12_28,24,12_28,-273.293,0,0,0,1,24,high,train,460023.735467,5879905.956816,460085.135467,5879967.356816
25_09_23,25,9_23,-267.574,0,0,0,1,24,high,train,460012.25506700005,5879914.338776001,460079.215267,5879981.298976
24_11_27,24,11_27,-228.697,9,20,7,0,24,high,train,459962.33546699997,5879967.356815999,460023.735467,5880028.756816
25_08_22,25,8_22,-218.939,6,20,7,0,25,high,train,459945.294867,5879981.298976,460012.255067,5880048.259176
24_12_27,24,12_27,-213.742,0,0,0,1,25,high,train,459962.33546699997,5879905.956816,460023.735467,5879967.356816
